sp;nombre_campo;Hoja;Bosque;Th;Es;AF;UM;pf_hoja (g);ps_hoja (g);pf_madera (g);volf_madera (cm3);Indv
sp_9;39;3;Humedo;simple;0,191;5044,8;5044,8;0,997;0,3823;3,3125;3,76;3
sp_9;39;4;Humedo;simple;0,184;4395,2;4395,2;0,8745;0,3373;3,3125;3,76;3
sp_10;4;1;Humedo;compuesta;0,162;6695,8;506,8;1,8656;0,4222;3,1248;2,85;1
sp_10;4;2;Humedo;compuesta;0,175;6874,5;795,4;2,0314;0,4624;3,1248;2,85;1
sp_10;4;3;Humedo;compuesta;0,18;10779;612,8;2,7743;0,6648;3,1248;2,85;1
sp_10;4;4;Humedo;compuesta;0,178;7386,3;572,4;2,2669;0,4753;3,1248;2,85;1
sp_10;4;5;Humedo;compuesta;0,147;10657,5;1398,9;2,6641;0,4689;3,1248;2,85;1
sp_10;41;1;Humedo;compuesta;0,183;4300,5;589,2;1,1303;0,1908;8,5453;9,17;1
sp_10;41;2;Humedo;compuesta;0,188;6250,8;254,1;0,9967;0,154;8,5453;9,17;1
sp_10;41;3;Humedo;compuesta;0,164;3413,1;367,1;1,4064;0,4519;8,5453;9,17;1
sp_10;42;1;Humedo;simple;0,267;11452,9;11452,9;3,9571;1,139;0,8343;0,7;1
sp_10;42;2;Humedo;simple;0,262;11291,8;11291,8;2,4167;0,7438;0,8343;0,7;1
sp_10;42;3;Humedo;simple;0,266;7032,7;7032,7;2,425;0,6404;0,8343;0,7;1
sp_10;42;4;Humedo;simple;0,248;12855,8;12855,8;4,3628;0,5799;0,8343;0,7;1
sp_10;42;5;Humedo;simple;0,296;10775,5;10775,5;3,6708;1,1106;0,8343;0,7;1
sp_10;43;1;Humedo;simple;0,285;106,05;106;0,3676;0,1996;2,1872;1,77;1
sp_10;43;2;Humedo;simple;0,264;74;74;0,2733;0,1286;2,1872;1,77;1
sp_10;43;3;Humedo;simple;0,283;103,02;103;0,3828;0,1785;2,1872;1,77;1
sp_10;43;4;Humedo;simple;0,28;144,74;145;0,4581;0,2112;2,1872;1,77;1
sp_10;43;5;Humedo;simple;0,27;89,42;89;0,2625;0,1248;2,1872;1,77;1
sp_11;44;1;Humedo;compuesta;0,136;3164,727;33,401;0,5636;0,1667;1,4916;1,47;1
sp_11;44;2;Humedo;compuesta;0,132;1158,602;27,794;0,1913;0,0652;1,4916;1,47;1
sp_11;44;3;Humedo;compuesta;0,153;1790,552;44,705;0,3901;0,1111;1,4916;1,47;1
sp_11;44;4;Humedo;compuesta;0,169;3143,889;113,786;0,6432;0,1948;1,4916;1,47;1
sp_11;44;5;Humedo;compuesta;0,138;2365,43;38,895;0,4475;0,1373;1,4916;1,47;1
sp_11;45;1;Humedo;simple;0,288;140,74;140,74;0,4623;0,2023;1,2504;0,99;2
sp_11;45;2;Humedo;simple;0,307;100,51;100,51;0,339;0,156;1,2504;0,99;2
sp_11;45;3;Humedo;simple;0,304;117,53;117,53;0,3013;0,1325;1,2504;0,99;2
sp_11;45;4;Humedo;simple;0,295;118,16;118,16;0,3389;0,1458;1,2504;0,99;2
sp_11;45;5;Humedo;simple;0,321;185,47;185,47;0,4117;0,1993;1,2504;0,99;2
sp_11;46;1;Humedo;simple;0,27;127,33;127,33;0,3866;0,1631;7,885;6,37;3
sp_11;46;2;Humedo;simple;0,29;106,62;106,62;0,3392;0,1439;7,885;6,37;3
sp_11;46;3;Humedo;simple;0,326;153,1;153,1;0,5664;0,2925;7,885;6,37;3
sp_11;46;4;Humedo;simple;0,266;156,24;156,24;0,3988;0,1528;7,885;6,37;3
sp_11;46;5;Humedo;simple;0,396;147,33;147,33;0,3389;0,1543;7,885;6,37;3
sp_11;47;1;Humedo;simple;0,176;665,81;665,81;2,7548;0,9915;2,0087;1,74;1
sp_11;47;2;Humedo;simple;0,167;961,85;961,85;1,827;0,6764;2,0087;1,74;1
sp_11;47;3;Humedo;simple;0,229;728,43;728,43;1,8833;0,7331;2,0087;1,74;1
sp_11;47;4;Humedo;simple;0,175;541,35;541,35;1,5518;0,5548;2,0087;1,74;1
sp_11;47;5;Humedo;simple;0,197;454,14;454,14;1,218;0,4831;2,0087;1,74;1
sp_11;48;1;Humedo;simple;0,216;227,33;227,33;0,5673;0,25;31,042;30,04;1
sp_11;48;2;Humedo;simple;0,221;227,33;227,33;0,7148;0,1803;31,042;30,04;1
sp_11;48;3;Humedo;simple;0,242;238,93;238,93;0,7435;0,2659;31,042;30,04;1
sp_11;48;4;Humedo;simple;0,183;221,43;221,43;0,5762;0,2203;31,042;30,04;1
sp_11;48;5;Humedo;simple;0,21;264,06;264,06;0,7226;0,3155;31,042;30,04;1
